
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
82,TerryCummings,PF,36,PHI,44,656,12.9,.490,.005,.274,9.6,16.4,13.0,5.6,1.8,0.6,6.7,17.4,0.0,0.8,0.7,1.4,.106,0.0,-1.7,-1.4,-3.1,-0.2
82,TerryCummings,PF,36,NYK,30,529,14.6,.501,.000,.185,9.5,21.2,15.3,9.3,1.6,0.7,12.7,23.7,0.0,0.1,1.0,1.1,.101,0.0,-2.4,0.3,-2.1,0.0
83,WilliamCunningham,C,23,TOT,7,39,9.3,.444,.000,.000,13.6,14.5,15.3,3.9,2.8,0.0,0.0,10.7,0.0,0.1,0.1,0.1,.131,0.0,-0.5,-0.5,-1.1,0.0
83,WilliamCunningham,C,23,UTA,6,38,8.7,.444,.000,.000,14.0,12.3,13.1,4.0,2.8,0.0,0.0,11.0,0.0,0.1,0.0,0.1,.122,0.0,-0.1,-0.4,-0.5,0.0
83,WilliamCunningham,C,23,PHI,1,1,33.3,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.473,0.0,-17.3,-4.8,-22.1,0.0
84,BillCurley,PF,25,MIN,11,146,7.8,.495,.030,.091,8.6,13.1,10.9,4.0,1.1,0.5,8.0,11.4,0.0,0.1,0.1,0.2,.068,0.0,-2.4,-1.4,-3.8,-0.1
85,DellCurry,SG,33,CHH,52,971,15.1,.536,.334,.120,3.3,9.2,6.3,12.9,1.7,0.3,10.6,24.3,0.0,1.0,0.7,1.7,.085,0.0,1.2,-2.7,-1.5,0.1
86,MichaelCurry,SG,29,MIL,82,1978,9.1,.548,.022,.421,1.6,4.5,3.0,10.9,1.5,0.5,13.5,13.2,0.0,2.1,0.9,2.9,.071,0.0,-1.8,-1.1,-2.9,-0.5
87,ErickDampier,C,22,GSW,82,2656,14.0,.502,.003,.504,10.6,18.3,14.4,6.1,0.8,3.6,15.3,18.7,0.0,1.1,2.9,4.0,.072,0.0,-2.5,1.4,-1.1,0.6
88,AntonioDaniels,SG,22,VAN,74,1956,9.9,.465,.095,.310,1.3,7.1,4.2,26.6,1.5,0.4,20.8,17.9,0.0,-0.9,-0.4,-1.3,-0.032,0.0,-3.1,-3.2,-6.2,-2.1
89,LloydDaniels,SG,30,TOR,6,82,13.5,.509,.310,.345,5.3,4.3,4.8,8.2,1.9,1.7,10.7,20.0,0.0,0.1,0.0,0.1,.040,0.0,-1.1,-4.0,-5.1,-0.1
90,YinkaDare,C,25,NJN,10,60,4.5,.279,.000,.444,18.1,14.4,16.4,2.4,0.0,2.5,8.5,17.0,0.0,-0.1,0.0,-0.1,-0.051,0.0,-6.3,-3.0,-9.4,-0.1
